RawTable,CleansedTable,RawColumnName,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup
raw.ppm_ihpa,cleansed.ppm_ihpa,ERNAM,createdPersonName,String,,,
raw.ppm_ihpa,cleansed.ppm_ihpa,ERZEIT,createdTime,String,,,
raw.ppm_0rpm_port_guid_attr,cleansed.ppm_0rpm_port_guid_attr,CURRENCY,currencyKey,String,,,
raw.ppm_rpm_item_d,cleansed.ppm_rpm_item_d,CURRENCY,currencykey,String,,,
raw.ppm_ihpa,cleansed.ppm_ihpa,ERDAT,dateCreated,Date,str-yyyy-mm-dd-to-date,,
raw.ppm_rpm_item_d,cleansed.ppm_rpm_item_d,ACT_DPCPT_GUID,dcptGUID,String,,,
raw.ppm_rpsco,cleansed.ppm_rpsco,BELTP,debitType,Integer,,,
raw.ppm_0rpm_decision_guid_attr,cleansed.ppm_0rpm_decision_guid_attr,DECISION_ID,decisionId,String,,,
raw.ppm_0rpm_decision_id_text,cleansed.ppm_0rpm_decision_id_text,PHASE_ID,decisionPointId,String,,,
raw.ppm_0rpm_decision_id_text,cleansed.ppm_0rpm_decision_id_text,PHASE_TEXT,decisionPointText,String,,,
raw.ppm_ihpa,cleansed.ppm_ihpa,KZLOESCH,deleteDataRecord,String,,,
raw.ppm_0project_attr,cleansed.ppm_0project_attr,DEL_PARTNER,delPartnerKey,String,,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,DEL_PARTNER,delPartnerKey,String,,,
raw.ppm_rpm_item_d,cleansed.ppm_rpm_item_d,DEL_PARTNER,delPartnerKey,String,,,
raw.ppm_rpm_item_d,cleansed.ppm_rpm_item_d,COSTD,developmentCost,String,,,
raw.ppm_0inm_initiative_guid_attr,cleansed.ppm_0inm_initiative_guid_attr,DI_OPERATION_TYPE,di_operation_type,String,,,
raw.ppm_0inm_initiative_guid_text,cleansed.ppm_0inm_initiative_guid_text,DI_OPERATION_TYPE,di_operation_type,String,,,
raw.ppm_0project_attr,cleansed.ppm_0project_attr,DI_OPERATION_TYPE,di_operation_type,String,,,
raw.ppm_0project_text,cleansed.ppm_0project_text,DI_OPERATION_TYPE,di_operation_type,String,,,
raw.ppm_0rpm_bucket_guid_id_text,cleansed.ppm_0rpm_bucket_guid_id_text,DI_OPERATION_TYPE,di_operation_type,String,,,
raw.ppm_0rpm_decision_guid_attr,cleansed.ppm_0rpm_decision_guid_attr,DI_OPERATION_TYPE,di_operation_type,String,,,
raw.ppm_0rpm_port_guid_attr,cleansed.ppm_0rpm_port_guid_attr,DI_OPERATION_TYPE,di_operation_type,String,,,
raw.ppm_0rpm_port_guid_id_text,cleansed.ppm_0rpm_port_guid_id_text,DI_OPERATION_TYPE,di_operation_type,String,,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,DI_OPERATION_TYPE,di_operation_type,String,,,
raw.ppm_0wbs_elemt_text,cleansed.ppm_0wbs_elemt_text,DI_OPERATION_TYPE,di_operation_type,String,,,
raw.ppm_0inm_initiative_guid_attr,cleansed.ppm_0inm_initiative_guid_attr,DI_SEQUENCE_NUMBER,di_sequence_number,bigint,,,
raw.ppm_0inm_initiative_guid_text,cleansed.ppm_0inm_initiative_guid_text,DI_SEQUENCE_NUMBER,di_sequence_number,bigint,,,
raw.ppm_0project_attr,cleansed.ppm_0project_attr,DI_SEQUENCE_NUMBER,di_sequence_number,bigint,,,
raw.ppm_0project_text,cleansed.ppm_0project_text,DI_SEQUENCE_NUMBER,di_sequence_number,bigint,,,
raw.ppm_0rpm_bucket_guid_id_text,cleansed.ppm_0rpm_bucket_guid_id_text,DI_SEQUENCE_NUMBER,di_sequence_number,bigint,,,
raw.ppm_0rpm_decision_guid_attr,cleansed.ppm_0rpm_decision_guid_attr,DI_SEQUENCE_NUMBER,di_sequence_number,bigint,,,
raw.ppm_0rpm_decision_guid_id_text,cleansed.ppm_0rpm_decision_guid_id_text,DI_SEQUENCE_NUMBER,di_sequence_number,bigint,,,
raw.ppm_0rpm_port_guid_attr,cleansed.ppm_0rpm_port_guid_attr,DI_SEQUENCE_NUMBER,di_sequence_number,bigint,,,
raw.ppm_0rpm_port_guid_id_text,cleansed.ppm_0rpm_port_guid_id_text,DI_SEQUENCE_NUMBER,di_sequence_number,bigint,,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,DI_SEQUENCE_NUMBER,di_sequence_number,bigint,,,
raw.ppm_0wbs_elemt_text,cleansed.ppm_0wbs_elemt_text,DI_SEQUENCE_NUMBER,di_sequence_number,bigint,,,
raw.ppm_rpm_item_d,cleansed.ppm_rpm_item_d,DISCOUNT_RATE,discountRate,String,,,
raw.ppm_0rpm_decision_guid_attr,cleansed.ppm_0rpm_decision_guid_attr,EA_DUMMY,dummyData,String,,,
raw.ppm_rpm_item_d,cleansed.ppm_rpm_item_d,EA_DUMMY,dummyDataElement,String,,,
raw.ppm_0project_attr,cleansed.ppm_0project_attr,ZZELECTORATE,electorate,String,,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,ZZELECTORATE,electorate,String,,,
raw.ppm_rpm_item_d,cleansed.ppm_rpm_item_d,ENVIRONMENTAL_STATUS,environmentalStatus,String,,,
raw.ppm_rpm_item_d,cleansed.ppm_rpm_item_d,ESCALATION,escalationFlag,String,,,
raw.ppm_rpm_item_d,cleansed.ppm_rpm_item_d,ECV,expectedCommercialValue,String,,,
raw.ppm_0rpm_decision_guid_id_text,cleansed.ppm_0rpm_decision_guid_id_text,EXTERNAL_ID,externalID,String,,,
raw.ppm_rpm_relation_d,cleansed.ppm_rpm_relation_d,EXTERNAL_ID,externalID,String,,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,CGPL_GUID16,externalsSystemGUID,String,,,
raw.ppm_0project_attr,cleansed.ppm_0project_attr,ZZEXTSYS,externalSystemId,String,,,
raw.ppm_0rpm_port_guid_attr,cleansed.ppm_0rpm_port_guid_attr,EXTERNAL_ID,externalSystemId,String,,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,ZZEXTSYS,externalSystemId,String,,,
raw.ppm_0inm_initiative_guid_attr,cleansed.ppm_0inm_initiative_guid_attr,EXTRACT_DATETIME,extract_datetime,String,,,
raw.ppm_0inm_initiative_guid_text,cleansed.ppm_0inm_initiative_guid_text,EXTRACT_DATETIME,extract_datetime,String,,,
raw.ppm_0project_attr,cleansed.ppm_0project_attr,EXTRACT_DATETIME,extract_datetime,String,,,
raw.ppm_0project_text,cleansed.ppm_0project_text,EXTRACT_DATETIME,extract_datetime,String,,,
