RawTable,CleansedTable,RawColumnName,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup
raw.fin_coss,cleansed.fin_coss,PAF005,fixedPriceVariance5,Float,,,
raw.fin_coss,cleansed.fin_coss,PAF006,fixedPriceVariance6,Float,,,
raw.fin_coss,cleansed.fin_coss,PAF007,fixedPriceVariance7,Float,,,
raw.fin_coss,cleansed.fin_coss,PAF008,fixedPriceVariance8,Float,,,
raw.fin_coss,cleansed.fin_coss,PAF009,fixedPriceVariance9,Float,,,
raw.fin_coss,cleansed.fin_coss,MEF001,fixedQuantity1,Float,,,
raw.fin_cosp,cleansed.fin_cosp,MEF001,fixedQuantity1,Float,,,
raw.fin_coss,cleansed.fin_coss,MEF010,fixedQuantity10,Float,,,
raw.fin_cosp,cleansed.fin_cosp,MEF010,fixedQuantity10,Float,,,
raw.fin_coss,cleansed.fin_coss,MEF011,fixedQuantity11,Float,,,
raw.fin_cosp,cleansed.fin_cosp,MEF011,fixedQuantity11,Float,,,
raw.fin_coss,cleansed.fin_coss,MEF012,fixedQuantity12,Float,,,
raw.fin_cosp,cleansed.fin_cosp,MEF012,fixedQuantity12,Float,,,
raw.fin_coss,cleansed.fin_coss,MEF013,fixedQuantity13,Float,,,
raw.fin_cosp,cleansed.fin_cosp,MEF013,fixedQuantity13,Float,,,
