RawTable,CleansedTable,RawColumnName,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup
raw.crm_crmd_partner,cleansed.crm_crmd_partner,ATTRIBUTES,partnerAttributesExistFlag,String,flag-x-true-false,,
raw.crm_crmc_proc_type,cleansed.crm_crmc_proc_type,AUTH_DOM,authorisationDomain,String,,,
raw.crm_0crm_sales_act_1,cleansed.crm_0crm_sales_act_1,BEGIN_DATE,contractStartDate,Date,str-yyyy-mm-dd-to-date,,
raw.crm_crmc_prt_otype,cleansed.crm_crmc_prt_otype,BOROBJECTTYPE,objectTypeCode,String,,,
raw.crm_skwg_brel,cleansed.crm_skwg_brel,BRELGUID,brelGUID,String,,,
raw.crm_crmd_brelvonae,cleansed.crm_crmd_brelvonae,BRELTYP,relationshipType,String,,,
raw.crm_crmc_proc_type,cleansed.crm_crmc_proc_type,BTX_CLASS,businessTransactionClassification,String,,,
raw.crm_crmd_erms_header,cleansed.crm_crmd_erms_header,BW_EXTRACT,bwExtractionFlag,String,flag-x-yes-no,,
raw.crm_0crm_sales_act_1,cleansed.crm_0crm_sales_act_1,BWSTONEACTI,bwStoneActi,String,,,
raw.crm_0crm_sales_act_1,cleansed.crm_0crm_sales_act_1,BWSTONESYS0,bwStoneSys0,String,,,
raw.crm_0crm_sales_act_1,cleansed.crm_0crm_sales_act_1,BWSTONESYS1,bwStoneSys1,String,,,
raw.crm_0crm_sales_act_1,cleansed.crm_0crm_sales_act_1,BWSTONESYS8,bwStoneSys8,String,,,
raw.crm_0crm_sales_act_1,cleansed.crm_0crm_sales_act_1,BWSTONESYSA,bwStoneSysA,String,,,
raw.crm_0crm_sales_act_1,cleansed.crm_0crm_sales_act_1,BWSTONEUSS0,bwStoneUss0,String,,,
raw.crm_0crm_sales_act_1,cleansed.crm_0crm_sales_act_1,BWSTTECSYS2,bwSttecSys2,String,,,
raw.crm_0crm_sales_act_1,cleansed.crm_0crm_sales_act_1,CAL_ACT_TIME,activityTime,String,,,
raw.crm_0crm_srv_req_inci_h,cleansed.crm_0crm_srv_req_inci_h,CALDAY,calendarDate,Date,str-yyyy-mm-dd-to-date,,
raw.crm_0crm_sales_act_1,cleansed.crm_0crm_sales_act_1,CALDAY,calendarDate,Date,str-yyyy-mm-dd-to-date,,
raw.crm_0crm_sales_act_1,cleansed.crm_0crm_sales_act_1,CALDAY_TO,calendarToDate,Date,str-yyyy-mm-dd-to-date,,
raw.crm_0crm_srv_req_inci_h,cleansed.crm_0crm_srv_req_inci_h,CALDAY_TS,calendarDatetime,Datetime,int-utc-to-sydney-datetime,,
raw.crm_crmd_partner,cleansed.crm_crmd_partner,CALENDAR,maintainPartnerCalenderFlag,String,flag-x-true-false,,
raw.crm_crm_svy_db_s,cleansed.crm_crm_svy_db_s,CALLBACKPAI,callbackSpecificationPai,String,,,
raw.crm_crm_svy_db_s,cleansed.crm_crm_svy_db_s,CALLBACKPBO,callbackSpecificationPbo,String,,,
raw.crm_crmc_proc_type,cleansed.crm_crmc_proc_type,CAMPAIGN_DETERM,campaignAutomationIndicator,String,,,
raw.crm_crmc_proc_type,cleansed.crm_crmc_proc_type,CANCPROC,cancellationProcedure ,String,,,
raw.crm_crmc_erms_cat_ca,cleansed.crm_crmc_erms_cat_ca,CAT_DELETED,categoryDeletedFlag,String,flag-x-yes-no,,
raw.crm_crmc_erms_cat_ct,cleansed.crm_crmc_erms_cat_ct,CAT_DESC,categoryDescription,String,,,
raw.crm_crmc_erms_cat_ct,cleansed.crm_crmc_erms_cat_ct,CAT_DESC_UC,categoryDescriptionUpperCase,String,,,
raw.crm_crmc_erms_cat_ct,cleansed.crm_crmc_erms_cat_ct,CAT_GUID,categoryGUID,String,trimcoalesce,,
raw.crm_crmc_erms_cat_ca,cleansed.crm_crmc_erms_cat_ca,CAT_GUID,categoryGUID,String,,,
raw.crm_crmd_srv_subject,cleansed.crm_crmd_srv_subject,CAT_ID,categoryID,String,,,
raw.crm_crmc_erms_cat_ca,cleansed.crm_crmc_erms_cat_ca,CAT_ID,categoryID,String,,,
raw.crm_crmv_erms_cat_ca,cleansed.crm_crmv_erms_cat_ca,CAT_ID,categoryID,String,trimcoalesce,,
raw.crm_0crm_srv_req_inci_h,cleansed.crm_0crm_srv_req_inci_h,CAT_ID_C,coherentCategoryIDC,String,,,
raw.crm_0crm_srv_req_inci_h,cleansed.crm_0crm_srv_req_inci_h,CAT_ID_D,coherentCategoryIDD,String,,,
raw.crm_crmv_erms_cat_ca,cleansed.crm_crmv_erms_cat_ca,CAT_GUID,categoryGUID,String,trimcoalesce,,
raw.crm_crmv_erms_cat_ca,cleansed.crm_crmv_erms_cat_ca,CAT_LABEL,categoryLabel,String,trimcoalesce,,
raw.crm_crmc_erms_cat_ca,cleansed.crm_crmc_erms_cat_ca,CAT_SEQUENCE,categorySequence,Integer,,,
raw.crm_0crm_srv_req_inci_h,cleansed.crm_0crm_srv_req_inci_h,CATALOG_TYPE_C,catalogCategoryC,String,,,
raw.crm_0crm_srv_req_inci_h,cleansed.crm_0crm_srv_req_inci_h,CATALOG_TYPE_D,catalogCategoryD,String,,,
raw.crm_0crm_srv_req_inci_h,cleansed.crm_0crm_srv_req_inci_h,CATEGORY,activityCategory,String,,,lookup-crm-communication-channel
raw.crm_0crm_srv_req_inci_h,cleansed.crm_0crm_srv_req_inci_h,CATEGORY,activityCategoryCode,String,,,
raw.crm_0crm_category_text,cleansed.crm_0crm_category_text,CATEGORY,categoryCode,String,trimcoalesce,,
raw.crm_0crm_sales_act_1,cleansed.crm_0crm_sales_act_1,CATEGORY,communicationChannelCode,String,,,
raw.crm_0crm_sales_act_1,cleansed.crm_0crm_sales_act_1,CATEGORY,communicationChannel,String,,,lookup-crm-communication-channel
raw.crm_skwg_brel,cleansed.crm_skwg_brel,CATID_A,categoryIDA,String,,,
raw.crm_skwg_brel,cleansed.crm_skwg_brel,CATID_B,categoryIDB,String,,,
raw.crm_0crm_srv_req_inci_h,cleansed.crm_0crm_srv_req_inci_h,CC_CAT_ACTREASON,activityReasonCode,String,,,
raw.crm_0crm_srv_req_inci_h,cleansed.crm_0crm_srv_req_inci_h,CC_CAT_SUBJECT,dataElementGUID,String,,,
raw.crm_0crm_srv_req_inci_h,cleansed.crm_0crm_srv_req_inci_h,CC_CAT_SUBJECT_C,dataElementGUIDC,String,,,
raw.crm_0crm_srv_req_inci_h,cleansed.crm_0crm_srv_req_inci_h,CC_CAT_SUBJECT_D,dataElementGUIDD,String,,,
raw.crm_0crm_srv_req_inci_h,cleansed.crm_0crm_srv_req_inci_h,CC_CAT_SUBJECT_E,dataElementGUIDE,String,,,
raw.crm_0crm_srv_req_inci_h,cleansed.crm_0crm_srv_req_inci_h,CC_CAT_SUBJECT_T,dataElementGUIDT,String,,,
raw.crm_0crm_srv_req_inci_h,cleansed.crm_0crm_srv_req_inci_h,CC_CAT_SUBJECT_W,dataElementGUIDW,String,,,
raw.crm_0crm_sales_act_1,cleansed.crm_0crm_sales_act_1,CC_CATEGORY_GUID,multiLevelCategoryGUID,String,,,
raw.crm_crm_jcds,cleansed.crm_crm_jcds,CDTCODE,cdtCode,String,,,
raw.crm_scapptseg,cleansed.crm_scapptseg,CHANGE_BY,changedBy,String,,,
raw.crm_crmd_erms_header,cleansed.crm_crmd_erms_header,CHANGE_ON,changedDate,Date,int-to-date,,
raw.crm_scapptseg,cleansed.crm_scapptseg,CHANGE_TST,changedDatetime,Datetime,,"to_timestamp(substring(cast(CHANGE_TST as bigint),1,4)||'-'||substring(cast(CHANGE_TST as bigint),5,2)||'-'||substring(cast(CHANGE_TST as bigint),7,2) ||' '||substring(cast(CHANGE_TST as bigint),9,2)||':'||substring(cast(CHANGE_TST as bigint),11,2)||':'||substring(cast(CHANGE_TST as bigint),13,2))",
